id,Hochdeutsch,IPA_Dialekt,method_greedy,method_positional,method_ibm,greedy_hits,greedy_pmi,greedy_rate,positional_count,ibm_prob,ibm_expected_count,ibm_sentence_support,method_count,methods,example_type,example_sentence,example_ipa_audio,example_ipa_reference,example_tense,correct,comment
198,muss,muːɾ,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Jetzt muss sie bei ihrer Schwester auf dem Sofa übernachten.,jɛtst muːɾ siː biː iːrɔ ʃvøːʃtɔp ɔfən soːfɛɾ ʏbɾnaxtə,jɛtst mʊs ziː baɪ iːrɜ ʃvɛstɜ aʊf deːm zoːfɑː yːbɜnaxtən,Präsens,,
199,möglichkeit,kaɪt,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Die beste Möglichkeit hatte zuvor Lausanne gehabt.,ɪbə ʃmɪlɪç kaɪt hɛt tsuːfoːɾloːzɑŋ kɑm,diː bɛstə møːklɪçkaɪt hatə tsuːfɔɾ laʊzanə ɡəhɑːpt,Plusquamperfekt,,
200,platz,blats,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Den dritten Platz belegte bei den Meisterschaften Norwegen.,ɪn dɾiː blats bɪn dɛmaɪʃtɛʃaftɛɾ hɛtnɑːvɪgə bəlaɪt,deːn dɾɪtən plats bəleːktə baɪ deːn maɪstɜʃaftən nɔɾveːɡən,Präsens,,
201,rolle,diː,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Schwarz spielt für einmal eine eher untergeordnete Rolle.,ʃvaɾts ʃpyːt vɛɾ aɪmɑːl eːɾ aɪn ʊntɛgɑːdən diː roːlə,ʃvaɾts ʃpiːlt fyːɾ aɪnmɑːl aɪnə eːɜ ʊntɜɡəɔɾdnətə rɔlə,Präsens,,
202,sehr,seːɾ,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Das stört uns sehr.,da ʃtœɾt yːs seːɾ,das ʃtœɾt ʊns zeːɾ,Präsens,,
203,seither,ziː,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Seither bin ich mit diesem Spiel verbunden.,ziː taɪn biːn daɪmʃpiːl fɛɾbʊndɜ,zaɪtɜ bɪn ɪç mɪt diːzəm ʃpiːl fɛɾbʊndən,Präsens,,
204,sicht,zɪçt,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Darum ist aus der Sicht des Stadtrates die beantragte Bestimmung überflüssig.,tɾuː ɪnz ʊs dɛs zɪçt fɔm statɾɔt diː ɛɾ bəantɾaɪtɪ bɛːstɪmɪg yːbɛɾflyːsɪg,dɑːrʊm ɪst aʊs dɛɾ zɪçt dɛs ʃtatɾɑːtəs diː bəantɾɑːktə bəʃtɪmʊŋ yːbɜflʏsɪç,Präsens,,
205,soll,zøːl,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Dadurch soll auch die Finanzierung gesichert werden.,tɔːduɔx zøːl apːɪnɛnɪtɪrɪk zɪçrə twɛldən,dɑːdʊɐç zɔl aʊx diː fiːnantsiːrʊŋ ɡəzɪçɜt vɛɾdən,Futur,,
206,sollen,sølə,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Sollen sie das Resonanzgremium begleiten oder sollen sie einen eigenen Zug fahren?,sølə tsiː ɪz rizɔnantkɾeːmɪːʊm bəglaɪtə oːdɛɾ sølə tsɛn algənə tsuːkfɑːrən,zɔlən ziː das reːzoːnantsɡɾeːmiːʊm bəɡlaɪtən oːdɜ zɔlən ziː aɪnən aɪɡənən tsuːk fɑːrən,Präsens,,
207,spass,ʃpas,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Die Überarbeitung macht dann wieder Spass.,dyːbɛːbɑːɾbaɪtyːgmaxt dɛm maɪtɛɾ ʃpas,diː yːbɜaɾbaɪtʊŋ maxt dan viːdɜ ʃpas,Präsens,,
208,stadtrat,diː,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Ich danke dem Stadtrat für die ausführliche Beantwortung unserer Anträge.,ɪç tankərə deːm ʃtatraʊt fyːɾ diː ʊsfyːɾlɪçə biːandɾʊtiːk ʏsərə ɑːɾtvɛɾk,ɪç daŋkə deːm ʃtatɾɑːt fyːɾ diː aʊsfyːɾlɪçə bəantvɔɾtʊŋ ʊnzərɜ antɾɛːɡə,Präsens,,
209,tag,fɔm,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Schliesslich möchten sie am schönsten Tag ihres Lebens umwerfend aussehen.,ɪçtəlɪç maɪçt ɪnəm hœntʃə tɑːg fɔm lɛbə ʊmaɪr fɔnʊsgə,ʃliːslɪç mœçtən ziː am ʃøːnstən tɑːk iːrəs leːbəns ʊmvɛɾfənt aʊszeːən,Präsens,,
210,tatsächlich,dɑːtsɛçlɪç,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Tatsächlich fehlen Ecken und Kanten.,dɑːtsɛçlɪç fɛlət ɛkən nuː kantə,tatzɛçlɪç feːlən ɛkən ʊnt kantən,Präsens,,
211,teilweise,ɪn,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Das geringe Gewicht war teilweise den sehr kompakten Abmessungen zu verdanken.,ɪs gɾɪŋə gʊvɪçt ɪn ɪn ɪn dɑːl vɪs dɛɾ zeːɾ kɔmpaxtɛɾ ɑːbmɛsɪgə tsvɛɾt ankɛ,das ɡərɪŋə ɡəvɪçt vɑːɾ taɪlvaɪzə deːn zeːɾ kɔmpaktən apmɛsʊŋən tsuː fɛɾdaŋkən,Plusquamperfekt,,
212,umgang,ʊŋgaŋ,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Der zweite Punkt betrifft den haushälterischen Umgang.,deːtsvaɪt diː pʊŋk bətɾɪftə hoːz haltɾiːʃə ʊŋgaŋ,dɛɾ tsvaɪtə pʊŋkt bətɾɪft deːn haʊshɛltərɪʃən ʊmɡaŋ,Präsens,,
213,unsere,yːz,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Unsere Einwohnerinnen und Einwohner brauchen das Vertrauen auch.,yːz ɾiːbɒːndɛbɒːn ʊndiːbɒːnɒ puːxɒːt dɛɾsfɒːtɾauː,ʊnzrə aɪnvoːneːrɪnən ʊnt aɪnvoːnɜ bɾaʊxən das fɛɾtɾaʊən aʊx,Präsens,,
214,vielen,fiːlə,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Vielen Dank für die Unterstützung.,fiːlə taŋk fɪlt ʊndɜʃtyːtsɪk,fiːlən daŋk fyːɾ diː ʊntɜʃtʏtsʊŋ,Präsens,,
215,vielleicht,fiːlɪçt,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Vielleicht will er das auch so.,fiːlɪçt viːkɪtɔː daː aʊsɔː,fɪlaɪçt vɪl ɛɾ das aʊx zoː,Präsens,,
216,vielmehr,fiːl,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Sie sei vielmehr aus einem spontanen Impuls heraus entstanden.,ɪs aɪɾət fiːl meːɪ ʊs ɪm ʃpɔntɑːnə ɪm boːlsuːzə ɪn ɛn ʃtandə,ziː zaɪ fiːlmeːɾ aʊs aɪnəm ʃpɔntɑːnən ɪmpuːls hɛraʊs ɛntʃtandən,Präsens,,
217,war,ɪʃ,0,1,0,,,,2.0,,,,1,positional,hd+ipa,War das in letzter Zeit anders?,ɪʃ ɑːsiːltʃtɔ tsiːt ɑːmkɔːʃ gsɪ,vɑːɾ das ɪn lɛtstɜ tsaɪt andɜs,Präteritum,,
218,weil,vɪl,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Weil sich andere anstecken liessen.,vɪl zɪç andərə jɑːʃt ɛkɾəlnd,vaɪl zɪç andərə anʃtɛkən liːsən,Präsens,,
219,weiss,vaɪs,0,1,0,,,,2.0,,,,1,positional,hd+ipa,"Soviel ich weiss, ist der Einwohnerrat die Legislative in einer Gemeinde.",tsuːfiːlɪç vaɪs ɪçtə iːvoːnərɑːɾt lɛgɪslatiːveː iːdɛgɛmaɪnt,zoːviːl ɪç vaɪs ɪst dɛɾ aɪnvoːnɜrɑːt diː leːɡɪslatiːvə ɪn aɪnɜ ɡəmaɪndə,Präsens,,
220,weiteren,viːtərə,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Mit bedeutenden weiteren Verzögerungen rechnet das BAG allerdings nicht.,miːpədyːtən deːn viːtərə fɛɾtsyːgərə ɾɛxmət speːrəgə alɔdɪŋz nœyːt,mɪt bədɔøtəndən vaɪtərən fɛɾtsøːɡərʊŋən rɛçnət das beːɑːɡeː alɜdɪŋs nɪçt,Präsens,,
221,welche,veːli,0,1,0,,,,2.0,,,,1,positional,hd+ipa,"8. Welche zusätzlichen Massnahmen sind, auch im Vergleich mit anderen Gemeinden, möglich?",ɑçtənts veːli tsuːɾzɛtsklɪçə maɾsnɑːmə zɪnt aʊɪm fɛɾgliːç mɪt andərə nɛmɪɾ møːgliːç,axt vɛlçə tsuːzɛtslɪçən masnɑːmən zɪnt aʊx ɪm fɛɾɡlaɪç mɪt andərən ɡəmaɪndən møːklɪç,Perfekt,,
222,wenn,vɛn,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Wenn man es denn so will.,vɛn mɑː ɛstɛns oʊvɨt,vɛn man ɛs dɛn zoː vɪl,Präsens,,
223,werde,vɛɾ,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Dadurch werde die Persönlichkeit nicht ernsthaft verletzt.,dɔːrdʊrə vɛɾ pɛɾzøːnləx kaɪnə dɛɾanʃɑːf fɛɾlɪçst,dɑːdʊɐç vɛɾdə diː pɛɾzøːnlɪçkaɪt nɪçt ɛɾnstaft fɛɾlɛtst,Futur,,
224,wieder,dɛɾ,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Er habe in der Vergangenheit immer wieder andere Religionen beleidigt.,ɛɾ hɛltə fɛɾgɑŋəhaɪt iːmɔ viːdɛɾ andərə dɛɾ gɔnə pɛlɾətiːkt,ɛɾ hɑːbə ɪn dɛɾ fɛɾɡaŋənhaɪt ɪmɜ viːdɜ andərə reːlɪɡioːnən bəlaɪdɪçt,Präsens,,
225,wissen,vyːsə,0,1,0,,,,2.0,,,,1,positional,hd+ipa,"Wir wissen, dass die Stadt dieses Thema anpackt.",eːɾ vyːsə ɛt ɛs ʃtɑːt daɪ teːmɑ ɑːpɑːkt,viːɾ vɪsən das diː ʃtat diːzəs teːmɑː anpakt,Präsens,,
226,wollen,vɛnt,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Das wollen wir nicht.,dɛs vɛnt meːɾ nøːd,das vɔlən viːɾ nɪçt,Präsens,,
227,würde,viːɾ,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Ich würde Coop darum nicht als Konkurrenten sehen.,tɾʊːm viːɾ diːxtə gɔp nɪçt als gɔːnkɔːrɛnt gseː,ɪç vʏɾdə koːp dɑːrʊm nɪçt als kɔnkʊrɛntən zeːən,Präsens,,
228,zeigt,tsaɪkt,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Das zeigt eine Studie von Psychologen aus 44 Ländern.,das tsaɪkt ɛs ʃtuːdɪɾt fɔpsyxɔloːgə uːzfiːrə fiːɾtsglɛndɔ,das tsaɪkt aɪnə ʃtuːdɪə fɔn psyːçoːloːɡən aʊs fiːɾ ʊntfɪɾtsɪç lɛndɜn,Präsens,,
229,zürich,tsyːrə,0,1,0,,,,2.0,,,,1,positional,hd+ipa,Airlines können in Zürich derzeit keinen Bio-Sprit tanken.,ɛrlaɪns kœnd ɪn tsyːrə eːɾtsiːd kaɪn biːɔːʃpɾiːt taŋkən,(en)eəlaɪnz(de) kœnən ɪn tsyːrɪç dɛɾtsaɪt kaɪnən bɪoːʃpɾiːt taŋkən,Präsens,,
230,nicht,nɛt,0,0,1,,,,,0.289058,13.8326,16.0,1,ibm,hd+ipa,Ansonsten können wir nicht zählen.,suʃ kʰømi ɑn nɛt sɛlɛ,anzoːnstən kœnən viːɾ nɪçt tsɛːlən,Präsens,,
231,eine,diː,0,0,1,,,,,0.4317,10.7904,13.0,1,ibm,hd+ipa,Die Leute haben eine ziemlich beschränkte Vorstellung.,lyːptɛɪn gətsɛɪnlɪç bɛʃrɛŋk diː fɑːstəlɪç,diː lɔøtə hɑːbən aɪnə tsiːmlɪç bəʃrɛŋktə foːɾʃtɛlʊŋ,Präsens,,
232,wurde,ɪn,0,0,1,,,,,0.4236,11.6807,13.0,1,ibm,hd+ipa,Dafür wurde er mit der Fields-Medaille ausgezeichnet.,dɑːrdɛ fyːɾ ɪn ɪn dɛn fiːlt mɪdɛlɾiː aʊstsaɪçnət vɑːrdən,dɑːfyːɾ vʊɐdə ɛɾ mɪt dɛɾ fiːltsmeːdalɪə aʊsɡətsaɪçnət,Präteritum,,
233,von,fɔr,0,0,1,,,,,0.316525,7.2105,7.0,1,ibm,hd+ipa,Das Geld sei von der CS bereits ausbezahlt worden.,daɪkəltsɪk fɔr dɛɾ tseːrəs bəraɪts hʊstsaɪltpɔɾdən,das ɡɛlt zaɪ fɔn dɛɾ tseːɛs bəraɪts aʊsbətsɑːlt vɔɾdən,Präsens,,
234,gab,hɛt,0,0,1,,,,,0.541151,4.9974,5.0,1,ibm,hd+ipa,"Soviel Einigkeit wie jetzt, gab es seit längerer Zeit nicht mehr.",zoːfiːl aɪnɪkaɪt viːɾiːt hɛt zaɪt lɛŋɛrɑːtsaɪtɛ nyːmə geː,zoːviːl aɪnɪɡkaɪt viː jɛtst ɡɑːp ɛs zaɪt lɛŋərɜ tsaɪt nɪçt meːɾ,Präteritum,,
235,konnte,hɛt,0,0,1,,,,,0.567331,4.7463,5.0,1,ibm,hd+ipa,Und er konnte sein Verlangen nicht mehr länger zurückhalten.,ʊndə hɛt ziːs fɔlɛŋə nyːmə meːlɛŋɔ tsuː kɑːltərən,ʊnt ɛɾ kɔntə zaɪn fɛɾlaŋən nɪçt meːɾ lɛŋɜ tsuːrʏkhaltən,Präteritum,,
236,an,aɪn,0,0,1,,,,,0.28683,3.3433,4.0,1,ibm,hd+ipa,Sie werden sich sicher gut an den komplizierten Budgetprozess 2017 erinnern können.,ziːvɛɾdə tziːç zɪç zɪç kuːɾət aɪn dɛɾ kɔmplitsiːɾt byːtʃɛ pɔtsɛs tsvaɪt daʊzɪk ʊnt ziːbətseːrɛːrɪːnɛr kʏnən,ziː vɛɾdən zɪç zɪçɜ ɡuːt an deːn kɔmpliːtsiːɾtən bʊdɡɛtpɾoːtsɛs tsvaɪ taʊzənt ziːptseːn ɛɾɪnɜn kœnən,Futur,,
237,einer,fɔn,0,0,1,,,,,0.328241,3.3086,4.0,1,ibm,hd+ipa,Bleibt die Frage nach einer privaten Trägerschaft der Museen.,dɛnt stɛlt zɪç nɔp frɑːk fɔn ɾɛpɾiːvɑːtɛt tɾɛgɛɾʃaːft fɔ deː muːsiːɛ,blaɪpt diː frɑːɡə nɑːx aɪnɜ pɾiːvɑːtən tɾɛːɡɜʃaft dɛɾ muːzeːən,Präsens,,
238,jahr,aɪ,0,0,1,,,,,0.345407,3.6309,4.0,1,ibm,hd+ipa,"Ein Jahr zuvor hatte Goldman Sachs noch 1,9 Milliarden Dollar verdient.",aɪ zɛɾtə vɔɾ hɛɾ gɔlmaɪn tsaɪxz nɑː aɪskɾɔm niː miːliːɑːdə doːl ɑːfə diːɾnt,aɪn jɑːɾ tsuːfɔɾ hatə ɡɔldmɑːn zaxs nɔx aɪns nɔøn mɪliːaɾdən dɔlɑːɾ fɛɾdiːnt,Präteritum,,
239,muss,mʊs,0,0,1,,,,,0.218279,3.5698,4.0,1,ibm,hd+ipa,Doch deshalb muss keiner auf Luxus und Leistung verzichten.,dɔx dɑːmə mʊs kɛnə flʊtsəl zoːd laɪʃtə diː diː diː zɪçtə,dɔx dɛshalp mʊs kaɪnɜ aʊf lʊksʊs ʊnt laɪstʊŋ fɛɾtsɪçtən,Präsens,,
240,sei,ɪs,0,0,1,,,,,0.300175,3.1945,4.0,1,ibm,hd+ipa,Die jetzige Klimapolitik Obamas sei mit der seiner ersten Amtszeit identisch.,diː jɛntsɪgə kliːmɛpoːliːdɪç fɔn moːbɑːmɑː ɪs mɪtɛrɛ fɔ zɪːnrə ɛɾʃtə amts tsiːd iːdɛɪnɪç,diː jɛtsɪɡə kliːmapoːliːtiːk oːbamɑːs zaɪ mɪt dɛɾ zaɪnɜ eːɾstən amtstsaɪt iːdɛntɪʃ,Präsens,,
241,über,yːbɜ,0,0,1,,,,,0.359107,3.8881,4.0,1,ibm,hd+ipa,Über die drohenden Abschreibungen war bereits spekuliert worden.,yːbɜ diː dɾoːɾən dɛɾ apʃriːbɪgə ɪs bəraɪts spɛkɾuːliːɾt vɔːdən,yːbɜ diː dɾoːəndən apʃraɪbʊŋən vɑːɾ bəraɪts ʃpeːkuːliːɾt vɔɾdən,Präteritum,,
